date,description,amount,category,subcategory
2024-04-14,PLANET FITNESS #6376,34.29,Entertainment & Leisure,Gym/club memberships
2024-03-13,RITE AID PHARMACY,156.13,Healthcare,Prescriptions
2025-11-19,SEPHORA #4860,64.3,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-11-17,ALLSTATE HOME INS,135.15,Housing & Real Estate,Homeowner's Insurance
2024-11-10,DICK'S SPORTING GOODS,427.52,Entertainment & Leisure,Recreational equipment
2024-06-17,GUITAR CENTER #1891,138.66,Entertainment & Leisure,Hobbies
2025-05-29,GOOGLE PLAY APPS,23.08,Entertainment & Leisure,Apps/services
2024-12-23,USAA HOMEOWNERS,151.6,Housing & Real Estate,Homeowner's Insurance
2025-10-26,BANFIELD PET HOSPITAL,233.05,Pets,Vet care
2025-10-05,VERIZON WIRELESS,57.14,Utilities & Communication,Cell phone
2025-05-26,UPSTART LOAN PYMT,350.23,Debts & Loans,Personal installment loans
2025-12-28,GUARDIAN DISABILITY INS,108.98,Insurance (Non-housing/Non-auto),Disability insurance
2024-08-11,AXS TICKET PURCHASE,146.38,Entertainment & Leisure,Event tickets
2025-08-28,CHEVRON #1098,61.19,Transportation & Vehicle,Gas/fuel
2025-09-19,BRIGHT HORIZONS DAYCARE,692.44,Family & Dependent Support,Childcare
2025-02-23,ALLIANZ TRAVEL INS,58.64,Travel & Vacations,Travel insurance
2024-06-28,ASHLEY FURNITURE,1130.24,Household,Furniture
2025-07-14,TRUPANION PET INSURANCE,27.24,,
2024-12-08,PRIVATE SCHOOL TUITION,2359.3,Family & Dependent Support,Child education/tuition
2024-08-16,HOME DEPOT APPLIANCES,527.7,Household,Appliances
2025-04-29,TREASURER TAX OFC,1865.28,Housing & Real Estate,Property Taxes
2025-04-08,ETSY.COM ORDER,62.01,Gifts & Charity,Holiday/birthday gifts
2025-04-06,SEPHORA #9747,18.1,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-02-17,TARGET #3287,48.2,,
2024-01-16,MIDAS AUTO REPAIR,300.74,Transportation & Vehicle,Vehicle maintenance & repairs
2024-03-20,T-MOBILE PAYMENT,37.34,Utilities & Communication,Cell phone
2025-02-10,ROYAL CARIBBEAN CRUISE,1409.06,Travel & Vacations,Cruises
2025-01-12,T-MOBILE PAYMENT,39.7,Utilities & Communication,Cell phone
2025-10-22,ZELLE TRANSFER TO FAMILY,94.83,Family & Dependent Support,Routine family financial assistance.
2024-12-26,TARGET #5381,66.25,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-10-31,LENDINGCLUB PAYMENT,129.64,Debts & Loans,Personal installment loans
2024-03-13,ETSY.COM ORDER,22.52,Gifts & Charity,Holiday/birthday gifts
2025-09-01,NATIONWIDE PET INS,49.58,Pets,Pet insurance
2025-04-12,DICK'S SPORTING GOODS,61.47,Entertainment & Leisure,Recreational equipment
2025-05-09,QUEST DIAGNOSTICS,260.98,Healthcare,Out-of-pocket medical costs
2025-07-13,GNC #6125,55.31,Personal Care & Apparel,Supplements/vitamins
2024-01-22,AQUA WATER SEWER,95.69,Utilities & Communication,Water/sewer
2025-10-31,STUBHUB TICKETS,53.16,Entertainment & Leisure,Event tickets
2025-10-05,LOCAL COMMUNITY COLLEGE,210.05,Entertainment & Leisure,Classes
2024-01-24,VCA ANIMAL HOSPITAL,337.04,Pets,Vet care
2024-06-17,SUPERCUTS #1841,19.81,Personal Care & Apparel,Salon/barber visits
2025-05-25,REGIONAL MEDICAL CTR,502.64,Healthcare,Out-of-pocket medical costs
2025-01-05,AETNA SUPPLEMENTAL,230.06,Healthcare,Private supplemental health insurance
2024-11-20,WILD BIRD CENTER #7096,45.75,Pets,Bird supplies
2025-09-04,UBER TRIP,21.86,Transportation & Vehicle,Public transit/ride-sharing
2025-08-08,LOCAL PET GROOMER,68.92,Pets,Grooming
2024-07-25,RED CROSS DONATION,438.01,Gifts & Charity,Charitable donations
2025-08-26,ASHLEY FURNITURE,821.45,Household,Furniture
2025-12-13,PETSMART GROOMING #3045,82.3,Pets,Grooming
2025-11-17,COMMUNITY HOA FEE,473.74,Housing & Real Estate,HOA fees
2025-07-29,SHELL OIL #7686,84.46,Transportation & Vehicle,Gas/fuel
2024-12-17,MICHAELS STORES #1985,14.29,Entertainment & Leisure,Hobbies
2025-04-26,WALGREENS RX #8156,174.74,Healthcare,Prescriptions
2024-09-02,COLD STONE CREAMERY,15.34,Food & Dining,Snacks & Desserts
2025-10-18,7-ELEVEN #5589,7.12,Food & Dining,Snacks & Desserts
2024-09-01,NEW YORK TIMES SUB,30.75,Entertainment & Leisure,Books/Periodicals
2024-06-19,AMAZON.COM BOOKS,52.69,Entertainment & Leisure,Books/Periodicals
2024-03-05,LOCAL BISTRO #3086,117.38,Food & Dining,Dining out
2024-10-20,SAFEWAY #2492,43.21,Food & Dining,Groceries
2025-11-24,ALLIANZ TRAVEL INS,105.92,Travel & Vacations,Travel insurance
2024-07-09,7-ELEVEN #6604,16.18,Food & Dining,Snacks & Desserts
2025-03-16,PROGRESSIVE INSURANCE,164.84,Transportation & Vehicle,Auto insurance
2024-05-14,GAP #3842,60.99,Personal Care & Apparel,Clothing
2024-03-26,MONTESSORI ACADEMY,2715.12,Family & Dependent Support,Child education/tuition
2024-05-17,AMAZON.COM OFFICE,23.68,Household,Office Expenses
2025-10-31,UPSTART LOAN PYMT,139.47,Debts & Loans,Personal installment loans
2025-02-26,KINDERCARE LEARNING CTR,473.26,Family & Dependent Support,Childcare
2025-10-06,HANDYMAN PRO SVC,408.13,Housing & Real Estate,Maintenance & repairs
2025-07-14,DMV VEHICLE REG,56.06,Transportation & Vehicle,Registration/licensing
2024-02-15,NORTHWESTERN MUTUAL,98.42,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-11-21,CVS PHARMACY #1596,48.92,Healthcare,Prescriptions
2025-06-23,LOCAL VETERINARY CLINIC,637.99,Pets,Vet care
2024-06-10,LOWE'S #3565,355.41,Household,Appliances
2025-10-18,STARBUCKS #564,3.73,Food & Dining,Coffee shops
2024-03-19,THE CHEESECAKE FACTORY,73.27,Food & Dining,Dining out
2025-11-30,GOOGLE PLAY APPS,3.65,Entertainment & Leisure,Apps/services
2024-09-11,LOCAL COMMUNITY COLLEGE,263.18,Entertainment & Leisure,Classes
2025-08-03,CHEWY.COM,39.35,Pets,Pet food & supplies
2024-03-01,DSW #1952,45.54,Personal Care & Apparel,Shoes
2025-08-12,ST MARY'S PARISH TITHE,142.9,Gifts & Charity,Tithing
2025-08-08,MARRIOTT HOTELS #1671,115.31,Travel & Vacations,Lodging
2025-11-05,NORTHWESTERN MUTUAL,144.53,Insurance (Non-housing/Non-auto),Term or whole life insurance
2024-05-15,LOCAL COMMUNITY COLLEGE,374.56,Entertainment & Leisure,Classes
2025-07-20,GREYSTAR PROPERTY MGMT,1477.12,Housing & Real Estate,Rent
2024-06-29,COMFORT KEEPERS,2033.6,Family & Dependent Support,Elder care support
2025-07-29,SUPERCUTS #5090,108.46,Personal Care & Apparel,Salon/barber visits
2025-01-02,SOFI PERSONAL LOAN,344.86,Debts & Loans,Personal installment loans
2024-10-29,FIRESTONE COMPLETE AUTO,659.21,Transportation & Vehicle,Vehicle maintenance & repairs
2025-06-04,DUNKIN' #2952,10.14,Food & Dining,Coffee shops
2025-02-14,FOOT LOCKER #5715,53.34,Personal Care & Apparel,Shoes
2025-08-26,MASTERCLASS.COM,304.69,Entertainment & Leisure,Classes
2024-02-08,NORTHWESTERN MUTUAL,112.33,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-02-22,GUITAR CENTER #8381,134.08,Entertainment & Leisure,Hobbies
2024-08-16,SOUTHWEST AIRLINES,733.85,Travel & Vacations,Flights
2025-10-22,T-MOBILE PAYMENT,78.89,Utilities & Communication,Cell phone
2024-01-07,LOWE'S #7998,1608.19,Household,Appliances
2025-10-25,WALGREENS RX #1980,102.58,Healthcare,Prescriptions
2025-08-31,SHELL OIL #3476,29.37,Transportation & Vehicle,Gas/fuel
2025-03-26,NELNET STUDENT LOAN,218.97,Debts & Loans,Student loans
2025-05-09,PG&E ELECTRIC BILL,279.86,Utilities & Communication,Electricity
2024-08-16,LOCAL BARBER SHOP,20.29,Personal Care & Apparel,Salon/barber visits
2024-11-28,AETNA SUPPLEMENTAL,248.29,Healthcare,Private supplemental health insurance
2024-05-30,SAFEWAY #7461,200.59,Food & Dining,Groceries
2025-10-08,SPECTRUM CABLE TV,12.29,Utilities & Communication,Cable/streaming services
2025-07-03,PETCO BIRD SUPPLIES,46.89,Pets,Bird supplies
2024-03-11,CMS MEDICARE PART B,95.88,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-09-26,AMAZON.COM,5.92,Household,Misc
2025-12-07,COUNTY VEHICLE LICENSE,240.16,Transportation & Vehicle,Registration/licensing
2024-03-07,GUARDIAN DISABILITY INS,83.38,Insurance (Non-housing/Non-auto),Disability insurance
2025-08-05,TARGET #1605,120.54,Gifts & Charity,Holiday/birthday gifts
2024-09-12,TARGET #3855,24.26,Household,Misc
2025-07-16,GREYSTAR PROPERTY MGMT,1812.92,Housing & Real Estate,Rent
2025-12-02,TACO BELL #5049,14.66,Food & Dining,Fast food
2025-10-01,MUTUAL OF OMAHA LTC,297.69,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-02-27,CARNIVAL CRUISE LINE,2501.27,Travel & Vacations,Cruises
2024-02-28,THE CHEESECAKE FACTORY,96.74,Food & Dining,Dining out
2025-02-07,FIRST BAPTIST CHURCH,184.14,Gifts & Charity,Tithing
2024-02-20,CENTERPOINT ENERGY,145.64,Utilities & Communication,Gas
2025-04-17,AT&T MOBILITY,44.27,Utilities & Communication,Cell phone
2025-10-22,UNIVERSITY TUITION PYMT,1483.87,Family & Dependent Support,Child education/tuition
2024-02-16,NORDSTROM #5115,49.24,Personal Care & Apparel,Clothing
2025-01-20,LOCAL VETERINARY CLINIC,481.05,Pets,Vet care
2024-07-29,STATE DMV FEE,70.22,Transportation & Vehicle,Registration/licensing
2025-12-29,TRAVELERS UMBRELLA,18.51,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-06-17,PETSMART #1538,90.29,Pets,Pet food & supplies
2024-07-03,GOOGLE PLAY APPS,11.54,Entertainment & Leisure,Apps/services
2025-05-19,DELTA AIR LINES,772.62,Travel & Vacations,Flights
2024-03-18,AMAZON.COM,83.0,Household,Misc
2024-10-10,STATE FARM INSURANCE,251.26,Housing & Real Estate,Homeowner's Insurance
2024-07-07,VITAMIN SHOPPE #8708,23.2,Personal Care & Apparel,Supplements/vitamins
2024-07-16,COLD STONE CREAMERY,10.42,Food & Dining,Snacks & Desserts
2024-10-07,IKEA #8642,1289.12,Household,Furniture
2025-10-23,DMV VEHICLE REG,239.12,Transportation & Vehicle,Registration/licensing
2025-01-30,NETFLIX.COM,53.75,Utilities & Communication,Cable/streaming services
2025-02-26,NELNET STUDENT LOAN,476.38,Debts & Loans,Student loans
2025-11-04,AMAZON.COM BOOKS,42.64,Entertainment & Leisure,Books/Periodicals
2024-12-17,HULU SUBSCRIPTION,16.49,Utilities & Communication,Cable/streaming services
2025-07-17,COUNTY TAX COLLECTOR,1773.71,Housing & Real Estate,Property Taxes
2025-10-09,FIRST BAPTIST CHURCH,260.88,Gifts & Charity,Tithing
2025-04-28,DELTA AIR LINES,750.75,Travel & Vacations,Flights
2024-04-26,LOCAL BARBER SHOP,90.17,Personal Care & Apparel,Salon/barber visits
2025-02-10,CENTERPOINT ENERGY,137.25,Utilities & Communication,Gas
2024-07-10,CHEWY.COM BIRD,45.55,Pets,Bird supplies
2025-01-03,HEALTHY PAWS INSURANCE,52.47,Pets,Pet insurance
2025-05-07,COUNTY TAX COLLECTOR,1659.88,Housing & Real Estate,Property Taxes
2025-08-25,HEALTHY PAWS INSURANCE,26.89,Pets,Pet insurance
2025-09-18,GRUBHUB ORDER #3440,33.47,Food & Dining,Meal delivery services
2024-12-04,CHEVRON #4078,41.57,Transportation & Vehicle,Gas/fuel
2025-08-27,URGENT CARE CLINIC,311.33,Healthcare,
2025-12-19,WELLS FARGO HOME MTG,2345.63,Housing & Real Estate,Mortgage
2025-07-16,THE HOME DEPOT #991,52.27,Household,Cleaning supplies
2025-05-08,STAPLES #8780,70.05,Household,Office Expenses
2025-04-06,HOBBY LOBBY #2398,45.55,Entertainment & Leisure,Hobbies
2024-02-03,TICKETMASTER EVENT,106.87,Entertainment & Leisure,Event tickets
2024-08-18,ACE HARDWARE #3948,625.15,Housing & Real Estate,Maintenance & repairs
2025-06-03,IKEA #1335,1790.68,Household,Furniture
2025-03-15,AT&T FIBER INTERNET,59.7,Utilities & Communication,Internet
2024-12-07,AT&T MOBILITY,77.44,Utilities & Communication,Cell phone
2024-11-02,PLANET FITNESS #5233,78.81,Entertainment & Leisure,Gym/club memberships
2024-04-02,WESTERN UNION TRANSFER,56.15,Family & Dependent Support,Routine family financial assistance.
2024-01-22,RITE AID PHARMACY,109.81,Healthcare,Prescriptions
2025-02-14,APPLE.COM/BILL,7.36,Entertainment & Leisure,Apps/services
2025-04-10,PROPERTY TAX ESCROW,3272.21,Housing & Real Estate,Property Taxes
2024-02-28,AMAZON.COM OFFICE,144.89,Household,Office Expenses
2024-03-25,NAVIENT LOAN PYMT,243.41,Debts & Loans,Student loans
2025-11-11,LA FITNESS MEMBERSHIP,33.19,Entertainment & Leisure,Gym/club memberships
2025-10-16,SOUTHWEST AIRLINES,859.98,Travel & Vacations,Flights
2025-12-08,LOCAL COMMUNITY COLLEGE,314.9,Entertainment & Leisure,Classes
2025-05-24,CHEWY.COM BIRD,53.21,Pets,Bird supplies
2024-08-10,CAPITAL ONE PAYMENT,1346.25,Debts & Loans,Credit card balances
2025-10-14,ACADEMY SPORTS #1665,262.61,Entertainment & Leisure,Recreational equipment
2025-10-18,PETCO GROOMING SALON,62.89,Pets,Grooming
2025-08-23,WALMART #7617,69.75,Household,Misc
2024-12-10,ALLIANZ TRAVEL INS,85.22,Travel & Vacations,Travel insurance
2025-06-17,PETCO GROOMING SALON,82.95,Pets,Grooming
2025-10-29,QUEST DIAGNOSTICS,593.28,Healthcare,Out-of-pocket medical costs
2025-05-16,GAP #5715,219.21,Personal Care & Apparel,Clothing
2025-08-23,WASTE MANAGEMENT INC,47.82,Utilities & Communication,Trash
2025-08-03,TOYOTA FINANCIAL SVC,475.58,Transportation & Vehicle,Car payments
2024-06-07,RED CROSS DONATION,43.75,Gifts & Charity,Charitable donations
2024-04-05,EQUINOX CLUB DUES,20.4,Entertainment & Leisure,Gym/club memberships
2025-12-30,TOYOTA FINANCIAL SVC,550.9,Transportation & Vehicle,Car payments
2025-09-25,VIATOR TOURS,358.2,Travel & Vacations,Tour packages
2024-06-23,CON EDISON UTILITY,234.35,Utilities & Communication,Electricity
2024-08-25,REI CO-OP #4684,64.65,Entertainment & Leisure,Recreational equipment
2025-07-15,HANDYMAN PRO SVC,757.68,Housing & Real Estate,Maintenance & repairs
2025-05-18,CHASE CARD PAYMENT,688.83,Debts & Loans,Credit card balances
2024-06-24,PRUDENTIAL LIFE INS,156.3,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-07-17,UBER TRIP,31.63,Transportation & Vehicle,Public transit/ride-sharing
2025-02-03,COUNTY TAX COLLECTOR,1574.82,Housing & Real Estate,Property Taxes
2025-09-19,COMFORT KEEPERS,1231.23,Family & Dependent Support,Elder care support
2025-10-25,CHASE CARD PAYMENT,595.14,Debts & Loans,Credit card balances
2024-07-04,SPECTRUM INTERNET,67.82,Utilities & Communication,Internet
2025-09-11,SHELL OIL #4498,49.52,Transportation & Vehicle,Gas/fuel
2025-08-18,ZELLE TRANSFER TO FAMILY,776.63,Family & Dependent Support,Routine family financial assistance.
2025-12-12,JOHN HANCOCK LTC,100.2,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-10-10,MUTUAL OF OMAHA LTC,78.74,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-09-03,APARTMENTS.COM RENT,1459.18,Housing & Real Estate,Rent
2024-11-27,PETSMART GROOMING #7549,27.21,Pets,Grooming
2024-04-02,CHICK-FIL-A #5155,14.95,Food & Dining,Fast food
2025-02-04,SOFI PERSONAL LOAN,374.02,Debts & Loans,Personal installment loans
2024-12-16,UBER EATS,56.05,Food & Dining,Meal delivery services
2024-05-03,CIGNA SUPP HEALTH,280.12,Healthcare,Private supplemental health insurance
2024-04-19,STATE FARM INSURANCE,151.41,Housing & Real Estate,Homeowner's Insurance
2025-07-30,SOUTHWEST AIRLINES,559.61,Travel & Vacations,Flights
2024-04-09,SALLIE MAE PAYMENT,577.94,Debts & Loans,Student loans
2024-02-07,SOFI PERSONAL LOAN,468.42,Debts & Loans,Personal installment loans
2025-07-26,ROTO-ROOTER PLUMBING,506.15,Housing & Real Estate,Maintenance & repairs
2024-11-05,PLANET FITNESS #2261,161.14,Entertainment & Leisure,Gym/club memberships
2025-03-12,THE CHEESECAKE FACTORY,92.31,Food & Dining,Dining out
2024-10-25,MONTESSORI ACADEMY,1721.02,Family & Dependent Support,Child education/tuition
2024-09-19,ETSY.COM ORDER,61.22,Gifts & Charity,Holiday/birthday gifts
2024-10-23,WELLS FARGO HOME MTG,2258.02,Housing & Real Estate,Mortgage
2025-05-05,WASTE MANAGEMENT INC,23.04,Utilities & Communication,Trash
2025-04-08,LOCAL DAYCARE CENTER,628.11,Family & Dependent Support,Childcare
2024-09-13,RITE AID PHARMACY,64.79,Healthcare,Prescriptions
2025-02-08,COMMUNITY CHURCH GIVING,95.28,Gifts & Charity,Tithing
2025-08-22,REPUBLIC SERVICES,51.22,Utilities & Communication,Trash
2024-01-22,UNITED WAY DONATION,369.26,Gifts & Charity,Charitable donations
2024-08-13,AXS TICKET PURCHASE,33.49,Entertainment & Leisure,Event tickets
2025-12-18,DOORDASH*ORDER,16.42,Food & Dining,Meal delivery services
2025-02-09,ZILLOW RENTAL PYMT,2083.16,,
2025-03-29,AMAZON.COM,28.76,Household,Misc
2024-08-12,STATE DMV FEE,199.8,Transportation & Vehicle,Registration/licensing
2025-08-19,BEST BUY #6830,1121.43,Household,Appliances
2025-04-13,OLD NAVY #6804,217.37,Personal Care & Apparel,Clothing
2025-09-13,UNITEDHEALTH MEDIGAP,150.34,Healthcare,Private supplemental health insurance
2025-09-18,USAA UMBRELLA POLICY,41.22,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-06-07,VITAMIN SHOPPE #7740,52.58,Personal Care & Apparel,Supplements/vitamins
2024-05-16,PLANET FITNESS #6370,143.75,Entertainment & Leisure,Gym/club memberships
2025-01-25,REGIONAL MEDICAL CTR,549.79,Healthcare,Out-of-pocket medical costs
2025-07-15,SAFEWAY #3633,186.17,Food & Dining,Groceries
2025-06-17,WORLD NOMADS INSURANCE,62.77,Travel & Vacations,Travel insurance
2024-06-29,7-ELEVEN #6946,17.88,Food & Dining,Snacks & Desserts
2024-03-25,STUBHUB TICKETS,159.39,Entertainment & Leisure,Event tickets
2024-03-05,GREAT CLIPS #6838,61.27,Personal Care & Apparel,Salon/barber visits
2025-03-20,PG&E ELECTRIC BILL,224.29,Utilities & Communication,Electricity
2025-08-08,DUNKIN' #4436,8.86,Food & Dining,Coffee shops
2025-07-05,HOA MGMT ASSOC #8618,566.51,Housing & Real Estate,HOA fees
2024-06-09,SUPERCUTS #994,16.22,Personal Care & Apparel,Salon/barber visits
2025-12-17,SOCALGAS PAYMENT,114.1,Utilities & Communication,Gas
2024-08-30,COUNTY TAX COLLECTOR,3403.89,Housing & Real Estate,Property Taxes
2024-09-28,AMAZON.COM,28.0,Household,Misc
2024-11-01,ZILLOW RENTAL PYMT,2405.78,Housing & Real Estate,Rent
2024-10-06,AT&T FIBER INTERNET,73.73,Utilities & Communication,Internet
2024-10-25,METRO TRANSIT FARE,11.81,Transportation & Vehicle,Public transit/ride-sharing
2024-06-27,ROTO-ROOTER PLUMBING,688.43,Housing & Real Estate,Maintenance & repairs
2025-01-12,EQUINOX CLUB DUES,169.81,Entertainment & Leisure,Gym/club memberships
2025-04-18,IKEA #5532,1763.1,Household,Furniture
2024-08-28,SUPERCUTS #6303,57.34,Personal Care & Apparel,Salon/barber visits
2025-03-09,HOME INSTEAD SENIOR CARE,229.96,Family & Dependent Support,Elder care support
2025-05-24,LOCAL BARBER SHOP,48.19,Personal Care & Apparel,Salon/barber visits
2024-07-26,CHEWY.COM,85.25,Pets,Pet food & supplies
2024-04-05,GEICO AUTO INSURANCE,150.17,Transportation & Vehicle,Auto insurance
2025-10-01,AT&T MOBILITY,114.41,Utilities & Communication,Cell phone
2025-09-23,METLIFE DISABILITY,131.94,Insurance (Non-housing/Non-auto),Disability insurance
2024-09-10,HANDYMAN PRO SVC,277.72,Housing & Real Estate,Maintenance & repairs
2024-06-30,NATIONWIDE PET INS,54.37,Pets,Pet insurance
2024-07-02,METLIFE DISABILITY,75.44,Insurance (Non-housing/Non-auto),Disability insurance
2024-06-10,CHEWY.COM,112.63,Pets,Pet food & supplies
2025-05-01,HANDYMAN PRO SVC,813.65,Housing & Real Estate,Maintenance & repairs
2024-06-22,GAP #459,135.89,Personal Care & Apparel,Clothing
2024-11-19,WILD BIRD CENTER #9356,52.95,Pets,Bird supplies
2024-02-12,STUBHUB TICKETS,174.06,Entertainment & Leisure,Event tickets
2024-12-29,VCA ANIMAL HOSPITAL,491.65,Pets,Vet care
2024-03-27,SPECTRUM CABLE TV,66.12,Utilities & Communication,Cable/streaming services
2024-05-29,DUKE ENERGY PAYMT,142.47,Utilities & Communication,Electricity
2025-11-20,TARGET #4806,13.84,Household,Misc
2024-12-14,SOFI PERSONAL LOAN,233.45,Debts & Loans,Personal installment loans
2025-11-06,LOCAL PET GROOMER,65.24,Pets,Grooming
2024-03-13,UNITED WAY DONATION,118.15,Gifts & Charity,Charitable donations
2024-08-27,SOCALGAS PAYMENT,41.79,Utilities & Communication,Gas
2024-10-28,JOHN HANCOCK LTC,290.54,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-06-28,SOUTHWEST AIRLINES,579.38,Travel & Vacations,Flights
2025-01-31,STARBUCKS #3148,7.49,Food & Dining,Coffee shops
2024-02-15,CARNIVAL CRUISE LINE,885.12,Travel & Vacations,Cruises
2024-04-05,LENSCRAFTERS #7442,404.75,Healthcare,Dental/vision care
2024-07-31,ACADEMY SPORTS #5970,483.02,Entertainment & Leisure,Recreational equipment
2024-01-07,FIRESTONE COMPLETE AUTO,81.72,Transportation & Vehicle,Vehicle maintenance & repairs
2025-08-09,AXS TICKET PURCHASE,165.47,Entertainment & Leisure,Event tickets
2024-03-09,CARNIVAL CRUISE LINE,2768.09,Travel & Vacations,Cruises
2024-04-23,BRIGHT HORIZONS DAYCARE,293.46,Family & Dependent Support,Childcare
2025-07-18,QUEST DIAGNOSTICS,161.36,Healthcare,Out-of-pocket medical costs
2025-02-27,REPUBLIC SERVICES,64.4,Utilities & Communication,Trash
2025-09-11,CHASE CARD PAYMENT,175.26,Debts & Loans,Credit card balances
2025-02-12,HOA MGMT ASSOC #487,447.01,Housing & Real Estate,HOA fees
2024-04-30,URGENT CARE CLINIC,287.64,Healthcare,Out-of-pocket medical costs
2024-10-17,PLANET FITNESS #8205,62.97,Entertainment & Leisure,Gym/club memberships
2025-04-09,CITY TRASH COLLECTION,46.53,Utilities & Communication,Trash
2025-06-05,GRUBHUB ORDER #5611,37.83,Food & Dining,Meal delivery services
2024-11-29,BRIGHT HORIZONS DAYCARE,846.73,Family & Dependent Support,Childcare
2024-09-13,ZELLE TRANSFER TO FAMILY,721.77,Family & Dependent Support,Routine family financial assistance.
2025-03-27,NATIONAL GRID GAS,72.88,Utilities & Communication,Gas
2025-11-11,WHOLE FOODS MKT #9449,100.4,Food & Dining,Groceries
2025-09-03,STUBHUB TICKETS,171.38,Entertainment & Leisure,Event tickets
2025-08-29,BEST BUY #806,317.4,Household,Appliances
2024-11-21,DELTA AIR LINES,304.51,Travel & Vacations,Flights
2025-08-02,HONDA FINANCIAL,563.75,Transportation & Vehicle,Car payments
2024-10-08,CMS MEDICARE PART B,160.28,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-01-19,VCA ANIMAL HOSPITAL,531.3,Pets,Vet care
2024-08-18,STARBUCKS #5386,11.41,Food & Dining,Coffee shops
2024-02-01,COSTCO WHOLESALE #6573,50.75,Household,Cleaning supplies
2025-08-11,ASSISTED LIVING FACILITY,857.0,Family & Dependent Support,Elder care support
2025-03-17,AIRBNB PAYMENT,449.3,Travel & Vacations,Lodging
2025-09-26,TOYOTA FINANCIAL SVC,346.39,Transportation & Vehicle,Car payments
2024-08-08,ASSISTED LIVING FACILITY,492.02,Family & Dependent Support,Elder care support
2024-09-06,CITY WATER UTILITY,116.55,Utilities & Communication,Water/sewer
2024-07-11,EXXONMOBIL #747,81.79,Transportation & Vehicle,Gas/fuel
2025-08-19,ROYAL CARIBBEAN CRUISE,1873.14,Travel & Vacations,Cruises
2025-02-17,WALGREENS RX #4235,64.96,Healthcare,Prescriptions
2024-12-30,REI CO-OP #1594,361.36,Entertainment & Leisure,Recreational equipment
2025-04-09,COMCAST XFINITY,69.45,Utilities & Communication,Internet
2024-05-17,WAYFAIR.COM,1722.9,,
2025-11-24,DSW #4860,80.83,Personal Care & Apparel,Shoes
2024-04-09,GUITAR CENTER #8012,76.18,Entertainment & Leisure,Hobbies
2024-12-12,SOCALGAS PAYMENT,140.72,Utilities & Communication,Gas
2024-12-26,MIDAS AUTO REPAIR,184.68,Transportation & Vehicle,Vehicle maintenance & repairs
2025-06-16,OLD NAVY #4864,108.46,Personal Care & Apparel,Clothing
2025-07-30,STATE FARM INSURANCE,203.74,Housing & Real Estate,Homeowner's Insurance
2024-09-12,ASSOCIA HOA DUES,244.53,Housing & Real Estate,HOA fees
2024-03-18,TOYOTA FINANCIAL SVC,424.84,Transportation & Vehicle,Car payments
2025-02-14,LENDINGCLUB PAYMENT,366.37,Debts & Loans,Personal installment loans
2025-07-01,LYFT RIDE,27.45,Transportation & Vehicle,Public transit/ride-sharing
2024-04-09,NORDSTROM #9246,52.13,Personal Care & Apparel,Clothing
2025-12-20,USAA UMBRELLA POLICY,25.59,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-12-19,PG&E ELECTRIC BILL,157.18,Utilities & Communication,Electricity
2024-10-09,ZELLE TRANSFER TO FAMILY,175.52,Family & Dependent Support,Routine family financial assistance.
2024-08-03,SALLIE MAE PAYMENT,418.79,Debts & Loans,Student loans
2025-12-07,UBER EATS,46.72,Food & Dining,Meal delivery services
2024-03-22,ETSY.COM ORDER,105.91,Gifts & Charity,Holiday/birthday gifts
2024-07-27,MASTERCLASS.COM,211.85,Entertainment & Leisure,Classes
2024-10-31,AIRBNB PAYMENT,426.9,Travel & Vacations,Lodging
2025-04-05,REI CO-OP #2646,70.72,Entertainment & Leisure,Recreational equipment
2024-03-13,EQUINOX CLUB DUES,41.15,Entertainment & Leisure,Gym/club memberships
2024-02-01,SSA MEDICARE DEDUCT,66.44,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-07-07,MONTESSORI ACADEMY,2187.15,Family & Dependent Support,Child education/tuition
2024-04-28,DSW #423,32.48,Personal Care & Apparel,Shoes
2024-04-28,ASSOCIA HOA DUES,572.66,Housing & Real Estate,HOA fees
2024-08-21,PRIVATE SCHOOL TUITION,977.6,Family & Dependent Support,Child education/tuition
2024-04-21,BEST BUY #6296,755.29,Household,Appliances
2024-04-07,COMMUNITY CHURCH GIVING,238.97,Gifts & Charity,Tithing
2025-11-20,FIRST BAPTIST CHURCH,78.22,Gifts & Charity,Tithing
2025-01-12,TRIPADVISOR EXPERIENCES,207.34,Travel & Vacations,Tour packages
